Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
"APACER 960GB AS340 PANTHER SATA 3 2.5"" AP960GAS340G-1","2.5""",SATA 3,TLC,960 GB,450 MB/s,550 MB/s,0 TB,Nem,Nem,36690,,
"APACER 960GB AS340X SATA 3 2.5"" AP960GAS340XC-1","2.5""",SATA 3,TLC,960 GB,510 MB/s,550 MB/s,560 TB,Nem,Nem,39790,100 x 69.85 x 6.9 mm,Nem
"BIOSTAR 120GB S120 SATA 3 2.5"" SA902S2E31","2.5""",SATA 3,TLC,120 GB,440 MB/s,550 MB/s,0 TB,Nem,Nem,8691,,Nem
BIOSTAR 1TB M700 M.2 PCIe M.2 2280 SS263PME3T,M.2 2280,M.2 PCIe,TLC,1000 GB,1650 MB/s,2000 MB/s,0 TB,Nem,Nem,43490,22 x 80 x 3.5 mm,
"BIOSTAR 1TB S120 SATA 3 2.5"" SA902S2E3T","2.5""",SATA 3,TLC,1000 GB,525 MB/s,550 MB/s,0 TB,Nem,Nem,39190,,
"BIOSTAR 240GB S100 SATA 3 2.5"" SM120S2E32","2.5""",SATA 3,TLC,240 GB,410 MB/s,530 MB/s,0 TB,Nem,Nem,12990,,Nem
BIOSTAR 256GB M700 M.2 PCIe M.2 2280 SS263PME32,M.2 2280,M.2 PCIe,TLC,256 GB,950 MB/s,1850 MB/s,0 TB,Nem,Nem,16789,22 x 80 x 3.5 mm,
"BIOSTAR 512GB S120 SATA 3 2.5"" SA902S2E35","2.5""",SATA 3,TLC,512 GB,525 MB/s,550 MB/s,0 TB,Nem,Nem,24290,,
CORSAIR 1TB MP600 Core M.2 PCIe M.2 2280 CSSD-F1000GBMP600COR,M.2 2280,M.2 PCIe,QLC,1000 GB,1950 MB/s,4700 MB/s,225 TB,Nem,Igen,59889,80 x 23 x 15 mm,Igen
CORSAIR 2TB MP400 M.2 PCIe M.2 2280 CSSD-F2000GBMP400,M.2 2280,M.2 PCIe,QLC,2000 GB,3000 MB/s,3480 MB/s,400 TB,Nem,Nem,99590,80 x 23 x 15 mm,
