Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
"TEAM GROUP 1TB GX2 SATA 3 2.5"" T253X2001T0C101","2.5""",SATA 3,TLC,1000,480,530,Nem,Nem,36391
TEAM GROUP 1TB MP33 Pro M.2 PCIe M.2 2280 TM8FPD001T0C101,M.2 2280,M.2 PCIe,TLC,1000,1700,2100,Nem,Nem,42890
"TEAM GROUP 1TB T-Create Classic SATA 3 2.5"" T253TA001T3C601","2.5""",SATA 3,TLC,1000,520,550,Nem,Nem,37490
"TEAM GROUP 240GB CX1 SATA 3 2.5"" T253X5240G0C101","2.5""",SATA 3,TLC,240,430,520,Nem,Nem,13590
"TEAM GROUP 240GB L5 Lite SATA 3 2.5"" T2535T240G0C101","2.5""",SATA 3,MLC,240,400,530,Nem,Nem,14290
"TEAM GROUP 256GB CX2 SATA 3 2.5"" T253X6256G0C101","2.5""",SATA 3,TLC,256,430,520,Nem,Nem,12790
TEAM GROUP 256GB MP33 M.2 PCIe M.2 2280 TM8FP6256G0C101,M.2 2280,M.2 PCIe,TLC,256,1000,1600,Nem,Nem,15890
TEAM GROUP 256GB MS30 M.2 SATA M.2 2280 TM8PS7256G0C101,M.2 2280,M.2 SATA,TLC,256,470,550,Nem,Nem,12990
"TEAM GROUP 2TB GX2 SATA 3 2.5"" T253X2002T0C101","2.5""",SATA 3,TLC,2000,480,530,Nem,Nem,75090
"TEAM GROUP 480GB CX1 SATA 3 2.5"" T253X5480G0C101","2.5""",SATA 3,TLC,480,470,530,Nem,Nem,21990
"TEAM GROUP 500GB DELTA S RGB SATA 3 2.5"" T253TR500G3C312","2.5""",SATA 3,TLC,500,510,560,Igen,Nem,29990
TEAM GROUP 512GB Cardea II M.2 PCIe M.2 2280 TM8FP5512G0C110,M.2 2280,M.2 PCIe,TLC,512,2000,3400,Nem,Nem,31190
TEAM GROUP 512GB Cardea Liquid M.2 PCIe M.2 2280 TM8FP5512G0C119,M.2 2280,M.2 PCIe,TLC,512,2000,3400,Nem,Nem,33190
TEAM GROUP 512GB Cardea Zero Z340 M.2 PCIe M.2 2280 TM8FP9512G0C311,M.2 2280,M.2 PCIe,TLC,512,2000,3400,Nem,Igen,36290
"TEAM GROUP 512GB EX2 SATA 3 2.5"" T253E2512G0C101","2.5""",SATA 3,TLC,512,520,550,Nem,Nem,20490
"TEAM GROUP 512GB GX2 SATA 3 2.5"" T253X2512G0C101","2.5""",SATA 3,TLC,512,430,530,Nem,Nem,20690
TEAM GROUP 512GB MP33 M.2 PCIe M.2 2280 TM8FP6512G0C101,M.2 2280,M.2 PCIe,TLC,512,1400,1700,Nem,Nem,22090
TEAM GROUP 512GB MP33 Pro M.2 PCIe M.2 2280 TM8FPD512G0C101,M.2 2280,M.2 PCIe,TLC,512,1700,2100,Nem,Nem,23190
TEAM GROUP 512GB MP34 M.2 PCIe M.2 2280 TM8FP4512G0C101,M.2 2280,M.2 PCIe,TLC,512,1700,3000,Nem,Nem,26290
TEAM GROUP 512GB MS30 M.2 SATA M.2 2280 TM8PS7512G0C101,M.2 2280,M.2 SATA,TLC,512,480,550,Nem,Nem,20790
"TEAM GROUP 960GB CX1 SATA 3 2.5"" T253X5960G0C101","2.5""",SATA 3,TLC,960,490,540,Nem,Nem,33691
"TOSHIBA 512GB VX500 SATA 3 2.5"" VX500-25SAT3-512G","2.5""",SATA 3,MLC,512,515,550,Nem,Nem,68290
TRANSCEND 128GB 370S mSATA TS128GMSA370S,mSATA,mSATA,TLC,128,200,530,Nem,Nem,19089
TRANSCEND 128GB 830S M.2 SATA M.2 2280 TS128GMTS830S,M.2 2280,M.2 SATA,TLC,128,500,560,Nem,Nem,9390
TRANSCEND 128GB MSA370 mSATA TS128GMSA370,mSATA,mSATA,MLC,128,150,520,Nem,Nem,29790
TRANSCEND 128GB MTS400 M.2 SATA M.2 2242 TS128GMTS400,M.2 2242,M.2 SATA,MLC,128,160,510,Nem,Nem,17990
TRANSCEND 128GB MTS800 M.2 SATA M.2 2280 TS128GMTS800S,M.2 2280,M.2 SATA,MLC,128,460,560,Nem,Nem,23691
"TRANSCEND 128GB SSD370 SATA 3 2.5"" TS128GSSD370S","2.5""",SATA 3,MLC,128,170,550,Nem,Nem,19290
TRANSCEND 16GB MSA370 mSATA TS16GMSA370,mSATA,mSATA,MLC,16,80,510,Nem,Nem,10591
TRANSCEND 1TB 110s M.2 PCIe M.2 2280 TS1TMTE112S,M.2 2280,M.2 PCIe,TLC,1000,1700,1500,Nem,Nem,43390
TRANSCEND 1TB 240S M.2 PCIe M.2 2280 TS1TMTE240S,M.2 2280,M.2 PCIe,TLC,1000,3200,3800,Nem,Nem,54190
"TRANSCEND 1TB SSD230S SATA 3 2.5"" TS1TSSD230S","2.5""",SATA 3,TLC,1000,520,560,Nem,Nem,42490
TRANSCEND 256GB 220S M.2 PCIe M.2 2280 TS256GMTE220S,M.2 2280,M.2 PCIe,TLC,256,1100,3300,Nem,Nem,17390
TRANSCEND 256GB 370S mSATA TS256GMSA370S,mSATA,mSATA,TLC,256,400,530,Nem,Nem,41290
TRANSCEND 256GB 600S M.2 SATA M.2 2260 TS256GMTS600S,M.2 2260,M.2 SATA,MLC,256,400,520,Nem,Nem,36990
"TRANSCEND 256GB SSD370 SATA 3 2.5"" TS256GSSD370S","2.5""",SATA 3,MLC,256,320,570,Nem,Nem,33790
"TRANSCEND 256GB SSD452K SATA 3 2.5"" TS256GSSD452K","2.5""",SATA 3,TLC,256,520,560,Nem,Nem,18990
TRANSCEND 32GB MTS400 M.2 SATA M.2 2242 TS32GMTS400S,M.2 2242,M.2 SATA,MLC,32,460,560,Nem,Nem,10390
TRANSCEND 480GB MTS420 M.2 SATA M.2 2242 TS480GMTS420S,M.2 2242,M.2 SATA,TLC,480,500,560,Nem,Nem,26789
TRANSCEND 480GB MTS820 M.2 SATA M.2 2280 TS480GMTS820S,M.2 2280,M.2 SATA,MLC,480,510,560,Nem,Nem,22790
"TRANSCEND 480GB SSD220S SATA 3 2.5"" TS480GSSD220S","2.5""",SATA 3,TLC,480,450,550,Nem,Nem,23291
TRANSCEND 512GB 110s M.2 PCIe M.2 2280 TS512GMTE112S,M.2 2280,M.2 PCIe,TLC,512,1500,1800,Nem,Nem,23490
TRANSCEND 512GB 830S M.2 SATA M.2 2280 TS512GMTS830S,M.2 2280,M.2 SATA,TLC,512,500,560,Nem,Nem,23390
TRANSCEND 64GB HSD370 SATA 3 Half Slim TS64GHSD370,Half Slim,SATA 3,MLC,64,320,550,Nem,Nem,19790
TRANSCEND 64GB MTS400 M.2 SATA M.2 2242 TS64GMTS400,M.2 2242,M.2 SATA,MLC,64,160,560,Nem,Nem,11490
TRANSCEND 64GB MTS400 M.2 SATA M.2 2242 TS64GMTS400S,M.2 2242,M.2 SATA,MLC,64,460,560,Nem,Nem,14390
TRANSCEND 64GB MTS800 M.2 SATA M.2 2280 TS64GMTS800S,M.2 2280,M.2 SATA,MLC,64,450,500,Nem,Nem,14590
"TRANSCEND 64GB PATA PATA/IDE 2.5"" TS64GPSD330","2.5""",PATA/IDE,MLC,64,67,119,Nem,Nem,31090
"TRANSCEND 64GB SSD370 SATA 3 2.5"" TS64GSSD370S","2.5""",SATA 3,MLC,64,80,450,Nem,Nem,16391
TRANSCEND 960GB MTS820 M.2 SATA M.2 2280 TS960GMTS820S,M.2 2280,M.2 SATA,MLC,960,510,560,Nem,Nem,37690
UMAX 256GB Internal M.2 SATA M.2 2280 UMM250005,M.2 2280,M.2 SATA,TLC,256,500,550,Nem,Nem,16990
V7 1TB S6000 M.2 SATA M.2 2280 V7S6000M2-1000,M.2 2280,M.2 SATA,TLC,1000,520,560,Nem,Nem,49990
"V7 1TB S6000 SATA 3 2.5"" V7S600025-1000","2.5""",SATA 3,TLC,1000,520,560,Nem,Nem,50690
V7 256GB S6000 M.2 SATA M.2 2280 V7S6000M2-250,M.2 2280,M.2 SATA,TLC,256,515,560,Nem,Nem,16890
V7 500GB S6000 M.2 SATA M.2 2280 V7S6000M2-500,M.2 2280,M.2 SATA,TLC,500,520,560,Nem,Nem,26490
"V7 500GB S6000 SATA 3 2.5"" V7S600025-500","2.5""",SATA 3,TLC,500,520,560,Nem,Nem,25991
"VERBATIM 1TB Vi500 S3 SATA 3 2.5"" 49353","2.5""",SATA 3,TLC,1000,460,550,Nem,Nem,41290
VERBATIM 1TB Vi560 S3 M.2 SATA M.2 2280 49364,M.2 2280,M.2 SATA,TLC,1000,520,560,Nem,Nem,38490
VERBATIM 256GB Vi560 S3 M.2 SATA M.2 2280 49362,M.2 2280,M.2 SATA,TLC,256,460,560,Nem,Nem,15490
VERBATIM 512GB Vi560 S3 M.2 SATA M.2 2280 49363,M.2 2280,M.2 SATA,TLC,512,520,560,Nem,Nem,23390
WD 1TB Black SN750 With Heatsink M.2 PCIe M.2 2280 WDS100T3XHC,M.2 2280,M.2 PCIe,TLC,1000,3000,3470,Nem,Igen,85190
WD 1TB Blue M.2 SATA M.2 2280 WDBK3U0010BNC,M.2 2280,M.2 SATA,TLC,1000,525,545,Nem,Nem,58890
WD 1TB Blue M.2 SATA M.2 2280 WDS100T1B0B,M.2 2280,M.2 SATA,TLC,1000,525,545,Nem,Nem,71990
WD 250GB Black SN750 M.2 PCIe M.2 2280 WDBRPG2500ANC,M.2 2280,M.2 PCIe,TLC,250,1600,3100,Nem,Nem,38990
WD 250GB Blue SN500 NVMe M.2 PCIe M.2 2280 WDS250G1B0C,M.2 2280,M.2 PCIe,TLC,250,1300,1700,Nem,Nem,19590
WD 500GB Blue SN550 NVMe M.2 PCIe M.2 2280 WDBA3V0010BNC,M.2 2280,M.2 PCIe,TLC,500,1750,2400,Nem,Nem,64690
"ZADAK 128GB TWSS3 SATA 3 2.5"" ZS128GTWSS3-1","2.5""",SATA 3,TLC,128,540,560,Nem,Nem,10690
"ZADAK 256GB TWSS3 SATA 3 2.5"" ZS256GTWSS3-1","2.5""",SATA 3,TLC,256,540,560,Nem,Nem,14089
"ZADAK 512GB TWSS3 SATA 3 2.5"" ZS512GTWSS3-1","2.5""",SATA 3,TLC,512,540,560,Nem,Nem,24790
