,name,Cikkszám,Gyártó,Garancia,Kapacitás,Csatolófelület,Olvasási sebesség,Írási sebesség,price
152,"Colorful SL300 128GB Solid State Drive SSD meghajtó 2,5""",861676,Colorful,3 éves,128 GB,SATA,500 MB/sec,400 MB/sec,8 990 
153,Samsung 860 EVO 500GB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E500) - [Bontott],863573,SAMSUNG,3 éves,500 GB,M.2 SATA,550 MB/sec,520 MB/sec,20 490 
154,"Kingston SSD M.2 SATA 240GB UV500, 256 AES (SUV500M8/240G)",559388,KINGSTON,5 éves,240 GB,M.2 PCIe,520 MB/sec,500 MB/sec,15 890 
155,"Kingston SSD M.2 SATA 480GB UV500, 256 AES (SUV500M8/480G)",559389,KINGSTON,5 éves,480 GB,M.2 PCIe,520 MB/sec,500 MB/sec,32 990 
156,"Silicon Power SATA 2,5"" 120GB Velox V55 SSD meghajtó (SP120GBSS3V55S25)",608318,SILICON POWER,3 éves,120 GB,SATA III,550 MB/sec,530 MB/sec,9 790 
157,ADATA SSD M.2 2280 NVMe Gen3x4 256GB SX6000,633963,Adata,5 éves,256 GB,SATA III,2100 MB/sec,1200 MB/sec,16 890 
158,"Adata 2.5"" SATA3 512GB SU750 SSD",648952,Adata,3 éves,512 GB,SATA III,550 MB/sec,520 MB/sec,24 990 
159,ADATA SSD M.2 2280 NVMe Gen3x4 256GB SX6000 Lite,775046,Adata,5 éves,256 GB,M.2 PCIe,1800 MB/sec,1200 MB/sec,17 190 
160,Apacer AS2280 Series AP500GAS2280Q4-1 500GB M.2 PCI-E 4.0 SSD meghajtó,831469,APACER,3 éves,500 GB,M.2 PCIe,5000 MB/sec,2500 MB/sec,41 990 
161,"Kingmax 2.5"" SATA3 480GB belső SSD meghajtó",846516,KINGMAX,3 éves,480 GB,SATA III,540 MB/sec,480 MB/sec,20 990 
162,Kingston 500GB M.2 NVMe 2280 NV1 (SNVS/500G) SSD,863360,KINGSTON,3 éves,500 GB,M.2 PCIe,2100 MB/sec,1700 MB/s,19 990 
